City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,clyde river,CA,2022-02-18 05:15:23,70.4692,-68.5914,-32.57,68,75,2.3
162,adrar,MR,2022-02-18 05:15:24,20.5022,-10.0711,60.12,9,99,10.47
163,hilo,US,2022-02-18 05:15:24,19.7297,-155.09,73.13,91,75,0.0
164,meulaboh,ID,2022-02-18 05:15:24,4.1363,96.1285,86.05,66,28,9.46
165,cayenne,GF,2022-02-18 05:15:25,4.9333,-52.3333,79.09,81,100,3.0
166,harnosand,SE,2022-02-18 05:15:25,62.6323,17.9379,10.4,85,59,13.18
167,quatre cocos,MU,2022-02-18 05:15:26,-20.2078,57.7625,83.08,78,100,21.09
168,tias,ES,2022-02-18 05:15:26,28.9611,-13.645,56.95,77,0,4.61
169,santa maria,BR,2022-02-18 05:15:27,-29.6842,-53.8069,65.98,73,53,6.22
170,leningradskiy,RU,2022-02-18 05:15:27,69.3833,178.4167,-14.58,98,100,10.07
171,tuktoyaktuk,CA,2022-02-18 05:15:27,69.4541,-133.0374,-7.6,77,75,17.27
172,launceston,AU,2022-02-18 05:15:28,-41.45,147.1667,72.61,34,40,12.66
173,ketchikan,US,2022-02-18 05:15:28,55.3422,-131.6461,43.27,100,100,6.91
174,swan hill,AU,2022-02-18 05:15:29,-35.3378,143.5544,81.9,23,0,14.12
175,caraballeda,VE,2022-02-18 05:15:29,10.6112,-66.8522,75.27,83,40,0.0
176,longyearbyen,SJ,2022-02-18 05:15:29,78.2186,15.6401,12.04,62,0,16.11
177,strezhevoy,RU,2022-02-18 05:15:30,60.7333,77.5889,24.78,96,95,6.46
178,udachnyy,RU,2022-02-18 05:15:30,66.4167,112.4,-8.55,76,43,5.32
179,shenkursk,RU,2022-02-18 05:15:31,62.1091,42.896,34.2,97,100,15.88
180,svetlogorsk,BY,2022-02-18 05:15:31,52.6333,29.7333,32.41,87,100,11.68
181,kargil,IN,2022-02-18 05:15:32,34.5667,76.1,-5.06,80,66,1.83
182,guerrero negro,MX,2022-02-18 05:15:32,27.9769,-114.0611,61.47,48,0,2.06
183,sur,OM,2022-02-18 05:15:33,22.5667,59.5289,74.07,50,0,11.54
184,parys,FR,2022-02-18 05:12:03,48.8534,2.3488,54.37,89,100,16.11
185,ponta do sol,PT,2022-02-18 05:16:33,32.6667,-17.1,62.06,55,44,3.33
186,sayyan,YE,2022-02-18 05:16:34,15.1718,44.3244,56.73,42,1,2.46
187,ibra,OM,2022-02-18 05:16:34,22.6906,58.5334,70.21,41,0,2.71
188,bambous virieux,MU,2022-02-18 05:16:34,-20.3428,57.7575,83.21,74,75,13.8
189,upata,VE,2022-02-18 05:16:35,8.0086,-62.3989,71.19,92,7,3.49
190,baykit,RU,2022-02-18 05:16:35,61.67,96.37,0.25,95,100,3.58
191,atagay,RU,2022-02-18 05:16:36,55.1033,99.3875,11.14,77,100,5.17
192,namatanai,PG,2022-02-18 05:16:36,-3.6667,152.4333,84.61,67,89,8.25
193,san ramon,US,2022-02-18 05:16:36,37.7799,-121.978,55.38,62,0,4.61
