City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Kununurra,AU,-15.7667,128.7333,80.58,89,100,5.75,overcast clouds
126,Avarua,CK,-21.2078,-159.775,82.45,78,20,17.27,few clouds
127,La Ronge,CA,55.1001,-105.2842,-7.35,49,20,12.66,few clouds
128,Hualmay,PE,-11.0964,-77.6139,76.55,71,58,10.83,broken clouds
129,Astoria,US,46.1879,-123.8313,39.92,55,100,17.27,overcast clouds
130,Kovdor,RU,67.5662,30.4758,-2.54,100,99,1.63,overcast clouds
131,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,40,0.0,scattered clouds
132,Saint George,US,37.1041,-113.5841,48.63,43,100,5.75,overcast clouds
133,Sisimiut,GL,66.9395,-53.6735,-14.48,99,100,8.55,overcast clouds
134,Alice Springs,AU,-23.7,133.8833,62.15,72,0,0.0,clear sky
135,Odawara,JP,35.2556,139.1597,37.99,64,86,1.74,overcast clouds
136,Lucapa,AO,-8.4192,20.7447,65.07,93,98,2.89,overcast clouds
137,Vianopolis,BR,-16.7419,-48.5164,74.03,78,83,1.48,broken clouds
138,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,16.11,light rain
139,Enumclaw,US,47.2043,-121.9915,36.25,57,95,8.01,overcast clouds
140,Esperance,AU,-33.8667,121.9,62.44,67,2,3.2,clear sky
141,Sai Buri,TH,6.7013,101.6168,76.95,84,96,7.23,overcast clouds
142,Victoria,HK,22.2855,114.1577,51.24,93,100,10.0,overcast clouds
143,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,100,19.66,light rain
144,Carnarvon,AU,-24.8667,113.6333,78.87,73,1,18.41,clear sky
145,Chapais,CA,49.7834,-74.8492,-0.62,94,100,12.35,snow
146,Aksarka,RU,66.5606,67.7975,-1.68,100,92,6.53,overcast clouds
147,Puerto Ayora,EC,-0.7393,-90.3518,84.16,72,91,8.88,overcast clouds
148,Pilar,BR,-9.5972,-35.9567,84.13,59,0,8.68,clear sky
149,Chokurdakh,RU,70.6333,147.9167,-25.22,95,100,9.69,overcast clouds
150,Denpasar,ID,-8.65,115.2167,73.06,100,75,13.8,heavy intensity rain
151,Baruun-Urt,MN,46.6806,113.2792,-5.44,92,5,5.68,clear sky
152,Pascagoula,US,30.3658,-88.5561,80.6,75,100,11.5,overcast clouds
153,Cotonou,BJ,6.3654,2.4183,84.18,79,20,12.66,few clouds
154,Ahualulco,MX,22.4,-101.1667,78.62,17,0,3.6,clear sky
155,Kavaratti,IN,10.5669,72.642,80.17,63,96,2.62,overcast clouds
156,Tual,ID,-5.6667,132.75,82.17,77,100,18.72,overcast clouds
157,Lavrentiya,RU,65.5833,-171.0,12.54,96,100,8.39,light snow
158,Tabas,IR,33.5959,56.9244,55.58,43,36,0.98,scattered clouds
159,Cherskiy,RU,68.75,161.3,-43.92,100,100,5.37,overcast clouds
160,Georgiyevskoye,RU,58.731,45.024,32.11,95,100,9.89,overcast clouds
161,Klaksvik,FO,62.2266,-6.589,36.52,60,99,31.14,overcast clouds
162,Charters Towers,AU,-20.1,146.2667,75.25,82,39,5.48,scattered clouds
163,Teguise,ES,29.0605,-13.564,66.42,52,0,3.44,haze
164,Marsh Harbour,BS,26.5412,-77.0636,74.01,72,9,17.18,clear sky
165,Paamiut,GL,61.994,-49.6678,1.96,89,100,33.2,overcast clouds
166,Yima,CN,34.7381,111.8839,29.64,43,2,4.52,clear sky
167,Mogadishu,SO,2.0371,45.3438,78.55,86,100,20.38,overcast clouds
168,Torbay,CA,47.6666,-52.7314,27.88,46,75,5.75,broken clouds
169,Ancud,CL,-41.8697,-73.8203,79.23,54,23,10.22,few clouds
170,Emilio Carranza,MX,19.9711,-96.6114,78.91,74,1,8.68,clear sky
171,Norman Wells,CA,65.282,-126.8329,8.64,52,100,10.36,overcast clouds
172,Hodmezovasarhely,HU,46.4167,20.3333,43.03,66,4,7.61,clear sky
