City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
38,Forio,IT,52.83,clear sky,40.7342,13.8646,Hotel Terme Providence
39,Hermanus,ZA,64.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Jamestown,US,53.19,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
43,Port Lincoln,AU,62.2,clear sky,-34.7333,135.8667,Port Lincoln Hotel
47,Punta Arenas,CL,57.22,broken clouds,-53.15,-70.9167,Hotel Hain
50,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,People ThankYou
53,Japura,ID,73.62,broken clouds,-0.3167,102.35,Rumah mbah Jamah
54,Kloulklubed,PW,81.66,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
57,Santa Cruz,BO,83.66,thunderstorm with light rain,-17.8,-63.1667,Aviador Hotel Boutique
58,Cape Town,ZA,67.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
59,High Rock,BS,80.62,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
60,Lukulu,ZM,66.72,light rain,-14.3707,23.242,Ruth Guest House
61,Faanui,PF,81.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Nha Trang,VN,71.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
63,Villamontes,BO,72.28,overcast clouds,-21.25,-63.5,Hotel Raldes
67,Cidreira,BR,76.42,few clouds,-30.1811,-50.2056,Hotel Castelo
72,Ponta Do Sol,PT,65.03,broken clouds,32.6667,-17.1,Hotel do Campo
73,Castro,BR,80.22,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
77,Sao Filipe,CV,69.57,scattered clouds,14.8961,-24.4956,Hotel Xaguate
78,Chuy,UY,77.86,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Hobart,AU,56.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
82,Richards Bay,ZA,74.07,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
83,Bluff,NZ,53.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
84,Hithadhoo,MV,81.79,clear sky,-0.6,73.0833,Scoop Guest House
85,Filingue,NE,77.92,clear sky,14.3521,3.3168,
88,East London,ZA,72.75,overcast clouds,-33.0153,27.9116,Tu Casa
90,Busselton,AU,65.08,broken clouds,-33.65,115.3333,Observatory Guest House
91,Kavieng,PG,79.93,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Hamilton,US,63.45,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
94,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
95,Limbe,CM,81.45,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
96,Port Alfred,ZA,69.94,clear sky,-33.5906,26.891,The Halyards Hotel
97,Mataura,NZ,53.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
98,Westport,US,54.95,moderate rain,41.1415,-73.3579,The Inn at Longshore
99,Honiara,SB,77.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
104,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
105,Kaitangata,NZ,52.12,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
106,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
109,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
110,Bredasdorp,ZA,61.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
112,Dong Xoai,VN,71.73,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
113,Vaini,TO,81.86,overcast clouds,-21.2,-175.2,Keleti Beach Resort
114,Mar Del Plata,AR,71.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
115,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
116,Iracoubo,GF,77.99,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
118,Caravelas,BR,82.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
120,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
121,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
122,Otane,NZ,66.0,clear sky,-39.8833,176.6333,Ludlow Farmstay
125,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
126,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
128,Hualmay,PE,76.55,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
134,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
136,Lucapa,AO,65.07,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
137,Vianopolis,BR,74.03,broken clouds,-16.7419,-48.5164,FM Materiais para Construção _ Vianopolis
138,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
140,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
141,Sai Buri,TH,76.95,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
142,Victoria,HK,51.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
